# time       norm          energy        x_avg        sx          
0.000000e+00 1.000000e+00  1.807500e+04 -1.000000e+00 7.071068e-02
3.300000e-03 1.000000e+00  1.807500e+04 -3.730000e-01 7.446137e-02
3.400000e-03 1.000000e+00  1.807500e+04 -3.540000e-01 7.468588e-02
3.500000e-03 1.000000e+00  1.807501e+04 -3.350001e-01 7.491616e-02
3.600000e-03 1.000000e+00  1.807502e+04 -3.160004e-01 7.515167e-02
3.700000e-03 1.000000e+00  1.807506e+04 -2.970012e-01 7.539098e-02
3.800000e-03 1.000000e+00  1.807517e+04 -2.780036e-01 7.563065e-02
3.900000e-03 1.000000e+00  1.807546e+04 -2.590103e-01 7.586273e-02
4.000000e-03 1.000000e+00  1.807616e+04 -2.400276e-01 7.607053e-02
4.100000e-03 1.000000e+00  1.807775e+04 -2.210693e-01 7.622195e-02
4.200000e-03 1.000000e+00  1.808113e+04 -2.021633e-01 7.626099e-02
4.300000e-03 1.000000e+00  1.808780e+04 -1.833624e-01 7.609959e-02
4.400000e-03 1.000000e+00  1.810012e+04 -1.647581e-01 7.561447e-02
4.500000e-03 1.000000e+00  1.812141e+04 -1.464978e-01 7.465584e-02
4.600000e-03 1.000000e+00  1.815587e+04 -1.288012e-01 7.307489e-02
4.700000e-03 1.000000e+00  1.820815e+04 -1.119703e-01 7.077519e-02
4.800000e-03 1.000000e+00  1.828258e+04 -9.638646e-02 6.778857e-02
4.900000e-03 1.000000e+00  1.838207e+04 -8.249000e-02 6.436872e-02
5.000000e-03 1.000000e+00  1.850711e+04 -7.074068e-02 6.107971e-02
5.100000e-03 1.000000e+00  1.865499e+04 -6.156344e-02 5.881635e-02
5.200000e-03 1.000000e+00  1.881970e+04 -5.529022e-02 5.863371e-02
5.300000e-03 1.000000e+00  1.899263e+04 -5.211087e-02 6.132019e-02
5.400000e-03 1.000000e+00  1.916382e+04 -5.204534e-02 6.698533e-02
5.500000e-03 1.000000e+00  1.932366e+04 -5.494379e-02 7.509136e-02
5.600000e-03 1.000000e+00  1.946428e+04 -6.051376e-02 8.484544e-02
5.700000e-03 1.000000e+00  1.958057e+04 -6.836644e-02 9.553385e-02
5.800000e-03 1.000000e+00  1.967064e+04 -7.807041e-02 1.066464e-01
5.900000e-03 1.000000e+00  1.973556e+04 -8.920119e-02 1.178709e-01
6.000000e-03 1.000000e+00  1.977886e+04 -1.013783e-01 1.290444e-01
6.100000e-03 1.000000e+00  1.980569e+04 -1.142864e-01 1.401028e-01
6.200000e-03 1.000000e+00  1.982190e+04 -1.276820e-01 1.510410e-01
6.300000e-03 1.000000e+00  1.983297e+04 -1.413881e-01 1.618869e-01
6.400000e-03 1.000000e+00  1.984320e+04 -1.552837e-01 1.726850e-01
6.500000e-03 1.000000e+00  1.985500e+04 -1.692903e-01 1.834876e-01
6.600000e-03 1.000000e+00  1.986885e+04 -1.833595e-01 1.943476e-01
6.700000e-03 1.000000e+00  1.988372e+04 -1.974630e-01 2.053142e-01
6.800000e-03 1.000000e+00  1.989784e+04 -2.115845e-01 2.164288e-01
6.900000e-03 1.000000e+00  1.990958e+04 -2.257156e-01 2.277223e-01
7.000000e-03 1.000000e+00  1.991801e+04 -2.398515e-01 2.392130e-01
7.100000e-03 1.000000e+00  1.992309e+04 -2.539898e-01 2.509068e-01
7.200000e-03 1.000000e+00  1.992545e+04 -2.681293e-01 2.627981e-01
7.300000e-03 1.000000e+00  1.992602e+04 -2.822692e-01 2.748710e-01
7.400000e-03 1.000000e+00  1.992567e+04 -2.964090e-01 2.871023e-01
7.500000e-03 1.000000e+00  1.992504e+04 -3.105484e-01 2.994639e-01
7.600000e-03 1.000000e+00  1.992446e+04 -3.246871e-01 3.119253e-01
7.700000e-03 1.000000e+00  1.992406e+04 -3.388251e-01 3.244553e-01
7.800000e-03 1.000000e+00  1.992383e+04 -3.529622e-01 3.370235e-01
7.900000e-03 1.000000e+00  1.992373e+04 -3.670984e-01 3.496011e-01
8.000000e-03 1.000000e+00  1.992368e+04 -3.812337e-01 3.621620e-01
8.100000e-03 1.000000e+00  1.992366e+04 -3.953682e-01 3.746845e-01
8.200000e-03 1.000000e+00  1.992366e+04 -4.095023e-01 3.871530e-01
8.300000e-03 1.000000e+00  1.992366e+04 -4.236361e-01 3.995594e-01
8.400000e-03 1.000000e+00  1.992366e+04 -4.377702e-01 4.119046e-01
8.500000e-03 1.000000e+00  1.992365e+04 -4.519049e-01 4.241979e-01
8.600000e-03 1.000000e+00  1.992365e+04 -4.660404e-01 4.364558e-01
8.700000e-03 1.000000e+00  1.992365e+04 -4.801768e-01 4.486994e-01
8.800000e-03 1.000000e+00  1.992364e+04 -4.943142e-01 4.609513e-01
8.900000e-03 1.000000e+00  1.992363e+04 -5.084526e-01 4.732330e-01
9.000000e-03 1.000000e+00  1.992362e+04 -5.225918e-01 4.855624e-01
9.100000e-03 1.000000e+00  1.992360e+04 -5.367315e-01 4.979522e-01
9.200000e-03 1.000000e+00  1.992358e+04 -5.508716e-01 5.104095e-01
9.300000e-03 1.000000e+00  1.992356e+04 -5.650117e-01 5.229355e-01
9.400000e-03 1.000000e+00  1.992354e+04 -5.791516e-01 5.355260e-01
9.500000e-03 1.000000e+00  1.992352e+04 -5.932912e-01 5.481728e-01
9.600000e-03 1.000000e+00  1.992351e+04 -6.074301e-01 5.608644e-01
9.700000e-03 1.000000e+00  1.992349e+04 -6.215682e-01 5.735872e-01
9.800000e-03 1.000000e+00  1.992348e+04 -6.357055e-01 5.863266e-01
9.900000e-03 1.000000e+00  1.992347e+04 -6.498418e-01 5.990673e-01
1.000000e-02 1.000000e+00  1.992346e+04 -6.639773e-01 6.117945e-01
1.010000e-02 1.000000e+00  1.992346e+04 -6.781119e-01 6.244947e-01
1.020000e-02 1.000000e+00  1.992345e+04 -6.922460e-01 6.371571e-01
1.030000e-02 1.000000e+00  1.992345e+04 -7.063799e-01 6.497751e-01
1.040000e-02 1.000000e+00  1.992345e+04 -7.205140e-01 6.623471e-01
1.050000e-02 1.000000e+00  1.992345e+04 -7.346485e-01 6.748771e-01
1.060000e-02 1.000000e+00  1.992344e+04 -7.487838e-01 6.873740e-01
1.070000e-02 1.000000e+00  1.992344e+04 -7.629201e-01 6.998506e-01
1.080000e-02 1.000000e+00  1.992343e+04 -7.770573e-01 7.123215e-01
1.090000e-02 1.000000e+00  1.992342e+04 -7.911955e-01 7.248014e-01
1.100000e-02 1.000000e+00  1.992341e+04 -8.053346e-01 7.373035e-01
1.110000e-02 1.000000e+00  1.992339e+04 -8.194742e-01 7.498380e-01
1.120000e-02 1.000000e+00  1.992337e+04 -8.336142e-01 7.624117e-01
1.130000e-02 1.000000e+00  1.992336e+04 -8.477544e-01 7.750274e-01
1.140000e-02 1.000000e+00  1.992334e+04 -8.618944e-01 7.876844e-01
1.150000e-02 1.000000e+00  1.992332e+04 -8.760340e-01 8.003787e-01
1.160000e-02 1.000000e+00  1.992330e+04 -8.901730e-01 8.131036e-01
1.170000e-02 1.000000e+00  1.992328e+04 -9.043113e-01 8.258510e-01
1.180000e-02 1.000000e+00  1.992327e+04 -9.184487e-01 8.386111e-01
1.190000e-02 1.000000e+00  1.992326e+04 -9.325852e-01 8.513738e-01
1.200000e-02 1.000000e+00  1.992325e+04 -9.467208e-01 8.641284e-01
