# time       norm          energy        x_avg        sx          
0.000000e+00 1.000000e+00  1.622500e+04 -1.000000e+00 7.071068e-02
5.900000e-03 1.000000e+00  1.761076e+04 -7.029108e-02 7.974689e-02
6.000000e-03 1.000000e+00  1.772569e+04 -7.908744e-02 8.855362e-02
6.100000e-03 1.000000e+00  1.782078e+04 -8.965115e-02 9.751285e-02
6.200000e-03 1.000000e+00  1.789601e+04 -1.016065e-01 1.063553e-01
6.300000e-03 1.000000e+00  1.795215e+04 -1.146114e-01 1.149507e-01
6.400000e-03 1.000000e+00  1.799035e+04 -1.283754e-01 1.232640e-01
6.500000e-03 1.000000e+00  1.801202e+04 -1.426667e-01 1.313193e-01
6.600000e-03 1.000000e+00  1.801903e+04 -1.573101e-01 1.391728e-01
6.700000e-03 1.000000e+00  1.801398e+04 -1.721800e-01 1.468948e-01
6.800000e-03 1.000000e+00  1.800026e+04 -1.871903e-01 1.545580e-01
6.900000e-03 1.000000e+00  1.798180e+04 -2.022847e-01 1.622301e-01
7.000000e-03 1.000000e+00  1.796248e+04 -2.174280e-01 1.699698e-01
7.100000e-03 1.000000e+00  1.794542e+04 -2.325987e-01 1.778248e-01
7.200000e-03 1.000000e+00  1.793255e+04 -2.477844e-01 1.858312e-01
7.300000e-03 1.000000e+00  1.792443e+04 -2.629782e-01 1.940147e-01
7.400000e-03 1.000000e+00  1.792052e+04 -2.781762e-01 2.023917e-01
7.500000e-03 1.000000e+00  1.791964e+04 -2.933765e-01 2.109704e-01
7.600000e-03 1.000000e+00  1.792052e+04 -3.085778e-01 2.197513e-01
7.700000e-03 1.000000e+00  1.792206e+04 -3.237797e-01 2.287268e-01
7.800000e-03 1.000000e+00  1.792360e+04 -3.389817e-01 2.378801e-01
7.900000e-03 1.000000e+00  1.792479e+04 -3.541835e-01 2.471846e-01
8.000000e-03 1.000000e+00  1.792557e+04 -3.693847e-01 2.566052e-01
8.100000e-03 1.000000e+00  1.792600e+04 -3.845853e-01 2.661004e-01
8.200000e-03 1.000000e+00  1.792620e+04 -3.997851e-01 2.756268e-01
8.300000e-03 1.000000e+00  1.792626e+04 -4.149842e-01 2.851434e-01
8.400000e-03 1.000000e+00  1.792626e+04 -4.301827e-01 2.946161e-01
8.500000e-03 1.000000e+00  1.792623e+04 -4.453808e-01 3.040218e-01
8.600000e-03 1.000000e+00  1.792621e+04 -4.605788e-01 3.133493e-01
8.700000e-03 1.000000e+00  1.792620e+04 -4.757769e-01 3.225995e-01
8.800000e-03 1.000000e+00  1.792620e+04 -4.909755e-01 3.317836e-01
8.900000e-03 1.000000e+00  1.792620e+04 -5.061745e-01 3.409199e-01
9.000000e-03 1.000000e+00  1.792620e+04 -5.213741e-01 3.500310e-01
9.100000e-03 1.000000e+00  1.792620e+04 -5.365743e-01 3.591401e-01
9.200000e-03 1.000000e+00  1.792619e+04 -5.517750e-01 3.682694e-01
9.300000e-03 1.000000e+00  1.792618e+04 -5.669762e-01 3.774383e-01
9.400000e-03 1.000000e+00  1.792617e+04 -5.821777e-01 3.866629e-01
9.500000e-03 1.000000e+00  1.792615e+04 -5.973796e-01 3.959557e-01
9.600000e-03 1.000000e+00  1.792613e+04 -6.125817e-01 4.053253e-01
9.700000e-03 1.000000e+00  1.792611e+04 -6.277840e-01 4.147758e-01
9.800000e-03 1.000000e+00  1.792609e+04 -6.429861e-01 4.243057e-01
9.900000e-03 1.000000e+00  1.792608e+04 -6.581880e-01 4.339070e-01
1.000000e-02 1.000000e+00  1.792606e+04 -6.733894e-01 4.435658e-01
1.010000e-02 1.000000e+00  1.792605e+04 -6.885901e-01 4.532624e-01
1.020000e-02 1.000000e+00  1.792604e+04 -7.037901e-01 4.629738e-01
1.030000e-02 1.000000e+00  1.792603e+04 -7.189893e-01 4.726763e-01
1.040000e-02 1.000000e+00  1.792603e+04 -7.341879e-01 4.823486e-01
1.050000e-02 1.000000e+00  1.792602e+04 -7.493860e-01 4.919747e-01
1.060000e-02 1.000000e+00  1.792602e+04 -7.645840e-01 5.015451e-01
1.070000e-02 1.000000e+00  1.792602e+04 -7.797822e-01 5.110579e-01
1.080000e-02 1.000000e+00  1.792602e+04 -7.949806e-01 5.205178e-01
1.090000e-02 1.000000e+00  1.792602e+04 -8.101796e-01 5.299352e-01
1.100000e-02 1.000000e+00  1.792601e+04 -8.253791e-01 5.393238e-01
1.110000e-02 1.000000e+00  1.792601e+04 -8.405792e-01 5.486989e-01
1.120000e-02 1.000000e+00  1.792600e+04 -8.557798e-01 5.580755e-01
1.130000e-02 1.000000e+00  1.792599e+04 -8.709809e-01 5.674677e-01
1.140000e-02 1.000000e+00  1.792598e+04 -8.861824e-01 5.768877e-01
1.150000e-02 1.000000e+00  1.792596e+04 -9.013842e-01 5.863454e-01
1.160000e-02 1.000000e+00  1.792594e+04 -9.165863e-01 5.958486e-01
1.170000e-02 1.000000e+00  1.792592e+04 -9.317885e-01 6.054021e-01
1.180000e-02 1.000000e+00  1.792591e+04 -9.469907e-01 6.150069e-01
1.190000e-02 1.000000e+00  1.792589e+04 -9.621926e-01 6.246600e-01
1.200000e-02 1.000000e+00  1.792588e+04 -9.773941e-01 6.343533e-01
