# x psi_r psi_i psi2 
-7.953450e+00  8.881244e-04 -1.427144e-03 2.825504e-06
-7.953124e+00 -5.274023e-04  8.385989e-04 9.814012e-07
-7.952799e+00  5.102157e-06  6.711156e-06 7.107162e-11
-7.952473e+00  5.187554e-04 -8.499648e-04 9.915474e-07
-7.952147e+00 -8.836745e-04  1.432971e-03 2.834286e-06
-7.951822e+00  9.778553e-04 -1.577222e-03 3.443831e-06
-7.951496e+00 -7.724464e-04  1.238552e-03 2.130685e-06
-7.951171e+00  3.303827e-04 -5.206571e-04 3.802366e-07
-7.950845e+00  2.128965e-04 -3.566539e-04 1.725269e-07
-7.950520e+00 -6.909441e-04  1.124762e-03 1.742492e-06
-7.950194e+00  9.572996e-04 -1.548483e-03 3.314223e-06
-7.949869e+00 -9.303612e-04  1.498082e-03 3.109823e-06
-7.949543e+00  6.183853e-04 -9.889918e-04 1.360505e-06
-7.949218e+00 -1.169560e-04  1.770881e-04 4.503891e-08
-7.948892e+00 -4.203000e-04  6.890359e-04 6.514226e-07
-7.948567e+00  8.287815e-04 -1.344186e-03 2.493715e-06
-7.948241e+00 -9.833421e-04  1.587766e-03 3.487964e-06
-7.947916e+00  8.366312e-04 -1.345196e-03 2.509505e-06
-7.947590e+00 -4.336004e-04  6.907484e-04 6.651427e-07
-7.947265e+00 -1.022696e-04  1.751950e-04 4.115236e-08
-7.946939e+00  6.068011e-04 -9.874950e-04 1.343354e-06
-7.946613e+00 -9.254195e-04  1.497438e-03 3.098721e-06
-7.946288e+00  9.605106e-04 -1.548887e-03 3.321633e-06
-7.945962e+00 -7.013265e-04  1.126091e-03 1.759941e-06
-7.945637e+00  2.272775e-04 -3.585042e-04 1.801803e-07
-7.945311e+00  3.163982e-04 -5.188502e-04 3.693134e-07
-7.944986e+00 -7.631320e-04  1.237339e-03 2.113379e-06
-7.944660e+00  9.760578e-04 -1.576973e-03 3.439532e-06
-7.944335e+00 -8.899432e-04  1.433761e-03 2.847670e-06
-7.944009e+00  5.311746e-04 -8.515540e-04 1.007291e-06
-7.943684e+00 -9.672194e-06  8.615017e-06 1.677699e-10
-7.943358e+00 -5.147879e-04  8.369604e-04 9.655093e-07
-7.943033e+00  8.815251e-04 -1.426270e-03 2.811333e-06
-7.942707e+00 -9.781825e-04  1.578877e-03 3.449693e-06
-7.942382e+00  7.751499e-04 -1.248056e-03 2.158500e-06
-7.942056e+00 -3.346342e-04  5.350993e-04 3.983113e-07
-7.941731e+00 -2.083998e-04  3.416949e-04 1.601859e-07
-7.941405e+00  6.875798e-04 -1.113866e-03 1.713464e-06
-7.941080e+00 -9.560986e-04  1.544987e-03 3.301111e-06
-7.940754e+00  9.316913e-04 -1.503057e-03 3.127228e-06
-7.940428e+00 -6.218389e-04  1.000913e-03 1.388511e-06
-7.940103e+00  1.214750e-04 -1.923061e-04 5.173781e-08
-7.939777e+00  4.161003e-04 -6.751809e-04 6.290087e-07
-7.939452e+00 -8.261878e-04  1.335936e-03 2.467313e-06
-7.939126e+00  9.831490e-04 -1.587648e-03 3.487208e-06
-7.938801e+00 -8.388978e-04  1.353246e-03 2.535023e-06
-7.938475e+00  4.376323e-04 -7.045005e-04 6.878430e-07
-7.938150e+00  9.770789e-05 -1.599508e-04 3.513108e-08
-7.937824e+00 -6.031072e-04  9.754263e-04 1.315195e-06
-7.937499e+00  9.237252e-04 -1.492240e-03 3.080049e-06
-7.937173e+00 -9.613350e-04  1.552152e-03 3.333341e-06
-7.936848e+00  7.044169e-04 -1.136819e-03 1.788560e-06
-7.936522e+00 -2.316869e-04  3.734098e-04 1.931137e-07
-7.936197e+00 -3.120207e-04  5.043305e-04 3.517061e-07
-7.935871e+00  7.601277e-04 -1.227651e-03 2.084922e-06
-7.935546e+00 -9.753470e-04  1.575083e-03 3.432188e-06
-7.935220e+00  8.917437e-04 -1.440248e-03 2.869521e-06
-7.934895e+00 -5.349348e-04  8.644314e-04 1.033397e-06
-7.934569e+00  1.423982e-05 -2.394000e-05 7.758959e-10
-7.934243e+00  5.108123e-04 -8.238803e-04 9.397080e-07
-7.933918e+00 -8.793596e-04  1.419440e-03 2.788083e-06
-7.933592e+00  9.784906e-04 -1.580388e-03 3.455070e-06
-7.933267e+00 -7.778370e-04  1.257445e-03 2.186199e-06
-7.932941e+00  3.388770e-04 -5.494926e-04 4.167797e-07
-7.932616e+00  2.039012e-04 -3.267053e-04 1.483121e-07
-7.932290e+00 -6.842038e-04  1.102870e-03 1.684457e-06
-7.931965e+00  9.548795e-04 -1.541351e-03 3.287559e-06
-7.931639e+00 -9.330027e-04  1.507894e-03 3.144239e-06
-7.931314e+00  6.252788e-04 -1.012743e-03 1.416622e-06
-7.930988e+00 -1.259894e-04  2.075062e-04 5.893215e-08
-7.930663e+00 -4.118945e-04  6.612648e-04 6.069283e-07
-7.930337e+00  8.235793e-04 -1.327566e-03 2.440713e-06
-7.930012e+00 -9.829369e-04  1.587385e-03 3.485957e-06
-7.929686e+00  8.411471e-04 -1.361171e-03 2.560316e-06
-7.929361e+00 -4.416537e-04  7.181882e-04 7.108523e-07
-7.929035e+00 -9.314650e-05  1.446924e-04 2.961215e-08
-7.928709e+00  5.994034e-04 -9.632692e-04 1.287172e-06
-7.928384e+00 -9.220138e-04  1.486907e-03 3.061001e-06
-7.928058e+00  9.621402e-04 -1.555276e-03 3.344596e-06
-7.927733e+00 -7.074920e-04  1.147443e-03 1.817170e-06
-7.927407e+00  2.360897e-04 -3.882811e-04 2.065006e-07
-7.927082e+00  3.076392e-04 -4.897653e-04 3.345119e-07
-7.926756e+00 -7.571100e-04  1.217852e-03 2.056379e-06
-7.926431e+00  9.746177e-04 -1.573050e-03 3.424366e-06
-7.926105e+00 -8.935261e-04  1.446604e-03 2.891052e-06
-7.925780e+00  5.386827e-04 -8.772300e-04 1.059712e-06
-7.925454e+00 -1.880496e-05  3.926245e-05 1.895167e-09
-7.925129e+00 -5.068287e-04  8.107256e-04 9.141514e-07
-7.924803e+00  8.771780e-04 -1.412481e-03 2.764544e-06
-7.924478e+00 -9.787794e-04  1.581755e-03 3.459959e-06
-7.924152e+00  7.805077e-04 -1.266720e-03 2.213773e-06
-7.923827e+00 -3.431113e-04  5.638355e-04 4.356358e-07
-7.923501e+00 -1.994009e-04  3.116864e-04 1.369091e-07
-7.923176e+00  6.808162e-04 -1.091774e-03 1.655480e-06
-7.922850e+00 -9.536425e-04  1.537576e-03 3.273572e-06
-7.922524e+00  9.342952e-04 -1.512595e-03 3.160851e-06
-7.922199e+00 -6.287049e-04  1.024481e-03 1.444831e-06
-7.921873e+00  1.304992e-04 -2.226871e-04 6.661960e-08
-7.921548e+00  4.076828e-04 -6.472890e-04 5.851884e-07
-7.921222e+00 -8.209560e-04  1.319074e-03 2.413925e-06
-7.920897e+00  9.827058e-04 -1.586978e-03 3.484211e-06
-7.920571e+00 -8.433789e-04  1.368974e-03 2.585377e-06
-7.920246e+00  4.456646e-04 -7.318104e-04 7.341634e-07
-7.919920e+00  8.858549e-05 -1.294211e-04 2.459722e-08
-7.919595e+00 -5.956898e-04  9.510249e-04 1.259295e-06
-7.919269e+00  9.202852e-04 -1.481439e-03 3.041585e-06
-7.918944e+00 -9.629264e-04  1.558258e-03 3.355394e-06
-7.918618e+00  7.105519e-04 -1.157962e-03 1.845760e-06
-7.918293e+00 -2.404858e-04  4.031168e-04 2.203366e-07
-7.917967e+00 -3.032539e-04  4.751559e-04 3.177360e-07
-7.917642e+00  7.540791e-04 -1.207942e-03 2.027759e-06
-7.917316e+00 -9.738698e-04  1.570874e-03 3.416068e-06
-7.916990e+00  8.952903e-04 -1.452828e-03 2.912255e-06
-7.916665e+00 -5.424184e-04  8.899487e-04 1.086226e-06
-7.916339e+00  2.336754e-05 -5.458105e-05 3.525133e-09
-7.916014e+00  5.028372e-04 -7.974975e-04 8.888476e-07
-7.915688e+00 -8.749805e-04  1.405394e-03 2.740722e-06
-7.915363e+00  9.790492e-04 -1.582979e-03 3.464360e-06
-7.915037e+00 -7.831620e-04  1.275880e-03 2.241214e-06
-7.914712e+00  3.473368e-04 -5.781270e-04 4.548737e-07
-7.914386e+00  1.948988e-04 -2.966393e-04 1.259804e-07
-7.914061e+00 -6.774169e-04  1.080578e-03 1.626543e-06
-7.913735e+00  9.523876e-04 -1.533660e-03 3.259155e-06
-7.913410e+00 -9.355690e-04  1.517158e-03 3.177057e-06
-7.913084e+00  6.321171e-04 -1.036125e-03 1.473128e-06
-7.912759e+00 -1.350043e-04  2.378476e-04 7.479763e-08
-7.912433e+00 -4.034651e-04  6.332547e-04 5.637956e-07
-7.912108e+00  8.183180e-04 -1.310463e-03 2.386958e-06
-7.911782e+00 -9.824557e-04  1.586427e-03 3.481970e-06
-7.911457e+00  8.455933e-04 -1.376651e-03 2.610197e-06
-7.911131e+00 -4.496649e-04  7.453659e-04 7.577688e-07
-7.910805e+00 -8.402495e-05  1.141384e-04 2.008777e-08
-7.910480e+00  5.919663e-04 -9.386944e-04 1.231571e-06
-7.910154e+00 -9.185397e-04  1.475836e-03 3.021806e-06
-7.909829e+00  9.636935e-04 -1.561098e-03 3.365733e-06
-7.909503e+00 -7.135966e-04  1.168376e-03 1.874323e-06
-7.909178e+00  2.448752e-04 -4.179157e-04 2.346174e-07
-7.908852e+00  2.988648e-04 -4.605035e-04 3.013836e-07
-7.908527e+00 -7.510349e-04  1.197923e-03 1.999072e-06
-7.908201e+00  9.731033e-04 -1.568556e-03 3.407297e-06
-7.907876e+00 -8.970362e-04  1.458920e-03 2.933123e-06
-7.907550e+00  5.461418e-04 -9.025863e-04 1.112933e-06
-7.907225e+00 -2.792749e-05  6.989446e-05 5.665180e-09
-7.906899e+00 -4.988378e-04  7.841972e-04 8.638044e-07
-7.906574e+00  8.727671e-04 -1.398179e-03 2.716627e-06
-7.906248e+00 -9.792998e-04  1.584059e-03 3.468271e-06
-7.905923e+00  7.857998e-04 -1.284924e-03 2.268512e-06
-7.905597e+00 -3.515536e-04  5.923657e-04 4.744871e-07
-7.905272e+00 -1.903951e-04  2.815656e-04 1.155295e-07
-7.904946e+00  6.740062e-04 -1.069285e-03 1.597655e-06
-7.904620e+00 -9.511147e-04  1.529605e-03 3.244311e-06
-7.904295e+00  9.368241e-04 -1.521583e-03 3.192854e-06
-7.903969e+00 -6.355154e-04  1.047676e-03 1.501504e-06
-7.903644e+00  1.395047e-04 -2.529862e-04 8.346356e-08
-7.903318e+00  3.992417e-04 -6.191630e-04 5.427567e-07
-7.902993e+00 -8.156655e-04  1.301733e-03 2.359819e-06
-7.902667e+00  9.821867e-04 -1.585732e-03 3.479236e-06
-7.902342e+00 -8.477902e-04  1.384204e-03 2.634768e-06
-7.902016e+00  4.536545e-04 -7.588535e-04 7.816610e-07
-7.901691e+00  7.946495e-05 -9.884548e-05 1.608511e-08
-7.901365e+00 -5.882331e-04  9.262788e-04 1.204011e-06
-7.901040e+00  9.167771e-04 -1.470099e-03 3.001671e-06
-7.900714e+00 -9.644415e-04  1.563797e-03 3.375608e-06
-7.900389e+00  7.166260e-04 -1.178684e-03 1.902849e-06
-7.900063e+00 -2.492577e-04  4.326764e-04 2.493383e-07
-7.899738e+00 -2.944720e-04  4.458095e-04 2.854598e-07
-7.899412e+00  7.479777e-04 -1.187795e-03 1.970327e-06
-7.899086e+00 -9.723183e-04  1.566095e-03 3.398055e-06
-7.898761e+00  8.987640e-04 -1.464880e-03 2.953650e-06
-7.898435e+00 -5.498528e-04  9.151417e-04 1.139822e-06
-7.898110e+00  3.248474e-05 -8.520134e-05 8.314527e-09
-7.897784e+00  4.948306e-04 -7.708258e-04 8.390297e-07
-7.897459e+00 -8.705377e-04  1.390837e-03 2.692264e-06
-7.897133e+00  9.795312e-04 -1.584995e-03 3.471691e-06
-7.896808e+00 -7.884212e-04  1.293851e-03 2.295659e-06
-7.896482e+00  3.557615e-04 -6.065505e-04 4.944698e-07
-7.896157e+00  1.858898e-04 -2.664664e-04 1.055593e-07
-7.895831e+00 -6.705840e-04  1.057895e-03 1.568824e-06
-7.895506e+00  9.498241e-04 -1.525411e-03 3.229045e-06
-7.895180e+00 -9.380604e-04  1.525870e-03 3.208236e-06
-7.894855e+00  6.388998e-04 -1.059130e-03 1.529950e-06
-7.894529e+00 -1.440002e-04  2.681017e-04 9.261455e-08
-7.894204e+00 -3.950125e-04  6.050151e-04 5.220781e-07
-7.893878e+00  8.129983e-04 -1.292885e-03 2.332518e-06
-7.893553e+00 -9.818988e-04  1.584893e-03 3.476010e-06
-7.893227e+00  8.499697e-04 -1.391630e-03 2.659083e-06
-7.892901e+00 -4.576336e-04  7.722720e-04 8.058325e-07
-7.892576e+00 -7.490556e-05  8.354372e-05 1.259040e-08
-7.892250e+00  5.844903e-04 -9.137790e-04 1.176621e-06
-7.891925e+00 -9.149976e-04  1.464229e-03 2.981186e-06
-7.891599e+00  9.651705e-04 -1.566353e-03 3.385017e-06
-7.891274e+00 -7.196401e-04  1.188885e-03 1.931328e-06
-7.890948e+00  2.536333e-04 -4.473977e-04 2.644945e-07
-7.890623e+00  2.900755e-04 -4.310751e-04 2.699695e-07
-7.890297e+00 -7.449074e-04  1.177559e-03 1.941532e-06
-7.889972e+00  9.715148e-04 -1.563491e-03 3.388346e-06
-7.889646e+00 -9.004735e-04  1.470707e-03 2.973830e-06
-7.889321e+00  5.535514e-04 -9.276139e-04 1.166887e-06
-7.888995e+00 -3.703921e-05  1.005004e-04 1.147223e-08
-7.888670e+00 -4.908158e-04  7.573844e-04 8.145312e-07
-7.888344e+00  8.682926e-04 -1.383369e-03 2.667642e-06
-7.888019e+00 -9.797437e-04  1.585787e-03 3.474618e-06
-7.887693e+00  7.910260e-04 -1.302661e-03 2.322647e-06
-7.887368e+00 -3.599606e-04  6.206801e-04 5.148154e-07
-7.887042e+00 -1.813830e-04  2.513431e-04 9.607315e-08
-7.886716e+00  6.671504e-04 -1.046408e-03 1.540060e-06
-7.886391e+00 -9.485156e-04  1.521079e-03 3.213363e-06
-7.886065e+00  9.392779e-04 -1.530018e-03 3.223198e-06
-7.885740e+00 -6.422703e-04  1.070489e-03 1.558458e-06
-7.885414e+00  1.484908e-04 -2.831927e-04 1.022476e-07
-7.885089e+00  3.907776e-04 -5.908124e-04 5.017664e-07
-7.884763e+00 -8.103167e-04  1.283919e-03 2.305062e-06
-7.884438e+00  9.815920e-04 -1.583909e-03 3.472292e-06
-7.884112e+00 -8.521316e-04  1.398930e-03 2.683134e-06
-7.883787e+00  4.616018e-04 -7.856202e-04 8.302754e-07
-7.883461e+00  7.034687e-05 -6.823444e-05 9.604621e-09
-7.883136e+00 -5.807380e-04  9.011964e-04 1.149411e-06
-7.882810e+00  9.132013e-04 -1.458225e-03 2.960358e-06
-7.882485e+00 -9.658805e-04  1.568768e-03 3.393957e-06
-7.882159e+00  7.226388e-04 -1.198977e-03 1.959753e-06
-7.881834e+00 -2.580019e-04  4.620783e-04 2.800813e-07
-7.881508e+00 -2.856755e-04  4.163015e-04 2.549175e-07
-7.881182e+00  7.418241e-04 -1.167216e-03 1.912696e-06
-7.880857e+00 -9.706929e-04  1.560746e-03 3.378173e-06
-7.880531e+00  9.021647e-04 -1.476399e-03 2.993656e-06
-7.880206e+00 -5.572376e-04  9.400018e-04 1.194117e-06
-7.879880e+00  4.159083e-05 -1.157902e-04 1.513717e-08
-7.879555e+00  4.867933e-04 -7.438742e-04 7.903165e-07
-7.879229e+00 -8.660316e-04  1.375775e-03 2.642769e-06
-7.878904e+00  9.799370e-04 -1.586435e-03 3.477052e-06
-7.878578e+00 -7.936143e-04  1.311352e-03 2.349467e-06
-7.878253e+00  3.641508e-04 -6.347532e-04 5.355174e-07
-7.877927e+00  1.768749e-04 -2.361970e-04 8.707373e-08
-7.877602e+00 -6.637054e-04  1.034827e-03 1.511372e-06
-7.877276e+00  9.471894e-04 -1.516608e-03 3.197269e-06
-7.876951e+00 -9.404767e-04  1.534027e-03 3.237736e-06
-7.876625e+00  6.456267e-04 -1.081750e-03 1.587017e-06
-7.876300e+00 -1.529764e-04  2.982580e-04 1.123596e-07
-7.875974e+00 -3.865371e-04  5.765560e-04 4.818277e-07
-7.875649e+00  8.076206e-04 -1.274837e-03 2.277460e-06
-7.875323e+00 -9.812663e-04  1.582782e-03 3.468083e-06
-7.874997e+00  8.542761e-04 -1.406103e-03 2.706914e-06
-7.874672e+00 -4.655593e-04  7.988971e-04 8.549821e-07
-7.874346e+00 -6.578893e-05  5.291898e-05 7.128601e-09
-7.874021e+00  5.769761e-04 -8.885318e-04 1.122390e-06
-7.873695e+00 -9.113880e-04  1.452089e-03 2.939192e-06
-7.873370e+00  9.665714e-04 -1.571039e-03 3.402425e-06
-7.873044e+00 -7.256221e-04  1.208961e-03 1.988113e-06
-7.872719e+00  2.623635e-04 -4.767169e-04 2.960936e-07
-7.872393e+00  2.812720e-04 -4.014902e-04 2.403083e-07
-7.872068e+00 -7.387279e-04  1.156767e-03 1.883828e-06
-7.871742e+00  9.698527e-04 -1.557859e-03 3.367538e-06
-7.871417e+00 -9.038377e-04  1.481958e-03 3.013122e-06
-7.871091e+00  5.609113e-04 -9.523043e-04 1.221505e-06
-7.870766e+00 -4.613953e-05  1.310696e-04 1.930809e-08
-7.870440e+00 -4.827633e-04  7.302964e-04 7.663932e-07
-7.870115e+00  8.637550e-04 -1.368057e-03 2.617651e-06
-7.869789e+00 -9.801113e-04  1.586938e-03 3.478992e-06
-7.869463e+00  7.961860e-04 -1.319924e-03 2.376111e-06
-7.869138e+00 -3.683319e-04  6.487687e-04 5.565692e-07
-7.868812e+00 -1.723654e-04  2.210294e-04 7.856381e-08
-7.868487e+00  6.602493e-04 -1.023151e-03 1.482768e-06
-7.868161e+00 -9.458455e-04  1.512000e-03 3.180767e-06
-7.867836e+00  9.416568e-04 -1.537897e-03 3.251844e-06
-7.867510e+00 -6.489691e-04  1.092913e-03 1.615620e-06
-7.867185e+00  1.574570e-04 -3.132962e-04 1.229472e-07
-7.866859e+00  3.822911e-04 -5.622472e-04 4.622684e-07
