# time       norm          energy        x_avg        sx          
0.000000e+00 1.000000e+00  1.282500e+04 -1.000000e+00 7.071068e-02
9.100000e-03 1.000000e+00  1.421989e+04 -4.308391e-01 1.902958e-01
9.200000e-03 1.000000e+00  1.421986e+04 -4.458564e-01 1.954172e-01
9.300000e-03 1.000000e+00  1.421979e+04 -4.608738e-01 2.004434e-01
9.400000e-03 1.000000e+00  1.421974e+04 -4.758912e-01 2.053766e-01
9.500000e-03 1.000000e+00  1.421974e+04 -4.909088e-01 2.102293e-01
9.600000e-03 1.000000e+00  1.421976e+04 -5.059266e-01 2.150220e-01
9.700000e-03 1.000000e+00  1.421980e+04 -5.209447e-01 2.197808e-01
9.800000e-03 1.000000e+00  1.421983e+04 -5.359631e-01 2.245345e-01
9.900000e-03 1.000000e+00  1.421985e+04 -5.509818e-01 2.293129e-01
1.000000e-02 1.000000e+00  1.421985e+04 -5.660008e-01 2.341447e-01
1.010000e-02 1.000000e+00  1.421984e+04 -5.810201e-01 2.390558e-01
1.020000e-02 1.000000e+00  1.421982e+04 -5.960396e-01 2.440668e-01
1.030000e-02 1.000000e+00  1.421980e+04 -6.110592e-01 2.491913e-01
1.040000e-02 1.000000e+00  1.421978e+04 -6.260788e-01 2.544336e-01
1.050000e-02 1.000000e+00  1.421976e+04 -6.410983e-01 2.597880e-01
1.060000e-02 1.000000e+00  1.421975e+04 -6.561176e-01 2.652388e-01
1.070000e-02 1.000000e+00  1.421974e+04 -6.711366e-01 2.707619e-01
1.080000e-02 1.000000e+00  1.421973e+04 -6.861551e-01 2.763272e-01
1.090000e-02 1.000000e+00  1.421972e+04 -7.011733e-01 2.819027e-01
1.100000e-02 1.000000e+00  1.421972e+04 -7.161911e-01 2.874582e-01
1.110000e-02 1.000000e+00  1.421971e+04 -7.312087e-01 2.929685e-01
1.120000e-02 1.000000e+00  1.421971e+04 -7.462261e-01 2.984157e-01
1.130000e-02 1.000000e+00  1.421971e+04 -7.612434e-01 3.037903e-01
1.140000e-02 1.000000e+00  1.421971e+04 -7.762609e-01 3.090913e-01
1.150000e-02 1.000000e+00  1.421971e+04 -7.912784e-01 3.143251e-01
1.160000e-02 1.000000e+00  1.421971e+04 -8.062962e-01 3.195041e-01
1.170000e-02 1.000000e+00  1.421971e+04 -8.213143e-01 3.246451e-01
1.180000e-02 1.000000e+00  1.421970e+04 -8.363326e-01 3.297673e-01
1.190000e-02 1.000000e+00  1.421969e+04 -8.513513e-01 3.348915e-01
1.200000e-02 1.000000e+00  1.421969e+04 -8.663702e-01 3.400384e-01
