# x psi_r psi_i psi2 
-7.945962e+00  7.831700e-04 -2.140903e-03 5.196821e-06
-7.945637e+00 -1.164134e-03  3.340692e-03 1.251543e-05
-7.945311e+00  1.188953e-03 -3.519687e-03 1.380181e-05
-7.944986e+00 -8.500525e-04  2.623194e-03 7.603737e-06
-7.944660e+00  2.511278e-04 -9.251487e-04 9.189652e-07
-7.944335e+00  4.245880e-04 -1.055588e-03 1.294541e-06
-7.944009e+00 -9.703796e-04  2.713774e-03 8.306208e-06
-7.943684e+00  1.219289e-03 -3.542730e-03 1.403760e-05
-7.943358e+00 -1.095187e-03  3.289156e-03 1.201798e-05
-7.943033e+00  6.360584e-04 -2.030536e-03 4.527645e-06
-7.942707e+00  1.762510e-05  1.514579e-04 2.325014e-08
-7.942382e+00 -6.658820e-04  1.773899e-03 3.590118e-06
-7.942056e+00  1.110402e-03 -3.157217e-03 1.120101e-05
-7.941731e+00 -1.215210e-03  3.575804e-03 1.426311e-05
-7.941405e+00  9.482622e-04 -2.901756e-03 9.319387e-06
-7.941080e+00 -3.912414e-04  1.341036e-03 1.951448e-06
-7.940754e+00 -2.854369e-04  6.294552e-04 4.776880e-07
-7.940428e+00  8.747605e-04 -2.407608e-03 6.561782e-06
-7.940103e+00 -1.196451e-03  3.450083e-03 1.333457e-05
-7.939777e+00  1.152114e-03 -3.438339e-03 1.314954e-05
-7.939452e+00 -7.553295e-04  2.375963e-03 6.215724e-06
-7.939126e+00  1.274992e-04 -5.875794e-04 3.615056e-07
-7.938801e+00  5.393028e-04 -1.380348e-03 2.196207e-06
-7.938475e+00 -1.041090e-03  2.926491e-03 9.648220e-06
-7.938150e+00  1.224367e-03 -3.578406e-03 1.430406e-05
-7.937824e+00 -1.033082e-03  3.136890e-03 1.090734e-05
-7.937499e+00  5.257717e-04 -1.736854e-03 3.293099e-06
-7.937173e+00  1.423548e-04 -1.939014e-04 5.786263e-08
-7.936848e+00 -7.668994e-04  2.065409e-03 4.854048e-06
-7.936522e+00  1.156807e-03 -3.305803e-03 1.226653e-05
-7.936197e+00 -1.192810e-03  3.536065e-03 1.392655e-05
-7.935871e+00  8.639124e-04 -2.685833e-03 7.960046e-06
-7.935546e+00 -2.707471e-04  1.014909e-03 1.103344e-06
-7.935220e+00 -4.052147e-04  9.661362e-04 1.097618e-06
-7.934895e+00  9.571821e-04 -2.651966e-03 7.949122e-06
-7.934569e+00 -1.216306e-03  3.527453e-03 1.392232e-05
-7.934243e+00  1.103330e-03 -3.325079e-03 1.227349e-05
-7.933918e+00 -6.528340e-04  2.106681e-03 4.864297e-06
-7.933592e+00  2.647536e-06 -2.445571e-04 5.981519e-08
-7.933267e+00  6.483177e-04 -1.692296e-03 3.284182e-06
-7.932941e+00 -1.100921e-03  3.112047e-03 1.089686e-05
-7.932616e+00  1.216714e-03 -3.580870e-03 1.430302e-05
-7.932290e+00 -9.602895e-04  2.955510e-03 9.657194e-06
-7.931965e+00  4.101092e-04 -1.427052e-03 2.204668e-06
-7.931639e+00  2.655041e-04 -5.374617e-04 3.593575e-07
-7.931314e+00 -8.598638e-04  2.337749e-03 6.204437e-06
-7.930988e+00  1.191150e-03 -3.423707e-03 1.314061e-05
-7.930663e+00 -1.158029e-03  3.463506e-03 1.333690e-05
-7.930337e+00  7.706494e-04 -2.444982e-03 6.571840e-06
-7.930012e+00 -1.475340e-04  6.793601e-04 4.832965e-07
-7.929686e+00 -5.206858e-04  1.293852e-03 1.945167e-06
-7.929361e+00  1.029589e-03 -2.871713e-03 9.306786e-06
-7.929035e+00 -1.223501e-03  3.572084e-03 1.425674e-05
-7.928709e+00  1.043115e-03 -3.180957e-03 1.120657e-05
-7.928384e+00 -5.436318e-04  1.817844e-03 3.600092e-06
-7.928058e+00 -1.221350e-04  1.007380e-04 2.506510e-08
-7.927733e+00  7.505089e-04 -1.988541e-03 4.517557e-06
-7.927407e+00 -1.149262e-03  3.268720e-03 1.200533e-05
-7.927082e+00  1.196419e-03 -3.550099e-03 1.403462e-05
-7.926756e+00 -8.775695e-04  2.746697e-03 8.314471e-06
-7.926431e+00  2.902712e-04 -1.104002e-03 1.303078e-06
-7.926105e+00  3.858001e-04 -8.760381e-04 9.162844e-07
-7.925780e+00 -9.438193e-04  2.588396e-03 7.590589e-06
-7.925454e+00  1.213084e-03 -3.509837e-03 1.379053e-05
-7.925129e+00 -1.111235e-03  3.358800e-03 1.251638e-05
-7.924803e+00  6.694442e-04 -2.181435e-03 5.206816e-06
-7.924478e+00 -2.287842e-05  3.375010e-04 1.144303e-07
-7.924152e+00 -6.306586e-04  1.609565e-03 2.988429e-06
-7.923827e+00  1.091239e-03 -3.064810e-03 1.058386e-05
-7.923501e+00 -1.217971e-03  3.583562e-03 1.432537e-05
-7.923176e+00  9.720998e-04 -3.007309e-03 9.988884e-06
-7.922850e+00 -4.288571e-04  1.512130e-03 2.470454e-06
-7.922524e+00 -2.455576e-04  4.451047e-04 2.584168e-07
-7.922199e+00  8.448240e-04 -2.266335e-03 5.850002e-06
-7.921873e+00 -1.185619e-03  3.395059e-03 1.293212e-05
-7.921548e+00  1.163699e-03 -3.486378e-03 1.350903e-05
-7.921222e+00 -7.857847e-04  2.512387e-03 6.929544e-06
-7.920897e+00  1.675002e-04 -7.706982e-04 6.220321e-07
-7.920571e+00  5.020004e-04 -1.206492e-03 1.707626e-06
-7.920246e+00 -1.017903e-03  2.815025e-03 8.960496e-06
-7.919920e+00  1.222391e-03 -3.563393e-03 1.419201e-05
-7.919595e+00 -1.052920e-03  3.222918e-03 1.149584e-05
-7.919269e+00  5.613489e-04 -1.897635e-03 3.916133e-06
-7.918944e+00  1.019291e-04 -7.499478e-06 1.044577e-08
-7.918618e+00 -7.339989e-04  1.910347e-03 4.188182e-06
-7.918293e+00  1.141501e-03 -3.229467e-03 1.173248e-05
-7.917967e+00 -1.199781e-03  3.561781e-03 1.412576e-05
-7.917642e+00  8.910254e-04 -2.805745e-03 8.666130e-06
-7.917316e+00 -3.097009e-04  1.192372e-03 1.517666e-06
-7.916990e+00 -3.663442e-04  7.853506e-04 7.509836e-07
-7.916665e+00  9.302921e-04 -2.523104e-03 7.231496e-06
-7.916339e+00 -1.209626e-03  3.489892e-03 1.364254e-05
-7.916014e+00  1.118902e-03 -3.390298e-03 1.274606e-05
-7.915688e+00 -6.858902e-04  2.254751e-03 5.554348e-06
